img,link,prod,price
https://www.bigbasket.com/media/uploads/p/s/40097132_6-bb-royal-jaggery-cubes.jpg,https://www.bigbasket.com/pd/40097132/bb-royal-jaggery-cubes-400-g/?nc=L2Category&t_pg=L2Cagegory&t_p=L2Category&t_s=L2Category&t_pos=3&t_ch=desktop,Jaggery - Cubes,72
https://www.bigbasket.com/media/uploads/p/mm/40019101_3-bb-royal-sugar-coated-sounf.jpg,https://www.bigbasket.com/pd/40019101/bb-royal-sugar-coated-sounf-200-g/?nc=L2Category&t_pg=L2Cagegory&t_p=L2Category&t_s=L2Category&t_pos=3&t_ch=desktop,Sugar Coated Sounf,60
https://www.bigbasket.com/media/uploads/p/mm/20000571_11-bb-royal-misri-sugar-candy.jpg,https://www.bigbasket.com/pd/20000571/bb-royal-misri-sugar-candy-200-g/?nc=L2Category&t_pg=L2Cagegory&t_p=L2Category&t_s=L2Category&t_pos=3&t_ch=desktop,Misri / Sugar Candy,24
https://www.bigbasket.com/media/uploads/p/mm/10000489_8-bb-royal-jaggery-round.jpg,https://www.bigbasket.com/pd/10000489/bb-royal-jaggery-round-1-kg/?nc=L2Category&t_pg=L2Cagegory&t_p=L2Category&t_s=L2Category&t_pos=3&t_ch=desktop,Jaggery Round,85
https://www.bigbasket.com/media/uploads/p/mm/40140650_5-sugarlite-50-less-calories-sugar.jpg,https://www.bigbasket.com/pd/40140650/sugarlite-50-less-calories-sugar-500-g/?nc=L2Category&t_pg=L2Cagegory&t_p=L2Category&t_s=L2Category&t_pos=3&t_ch=desktop,50% Less Calories Sugar,99
https://www.bigbasket.com/media/uploads/p/mm/1205381_1-bb-royal-powder-natural-rocksalt.jpg,https://www.bigbasket.com/pd/1205381/bb-royal-powder-natural-rocksalt-2x500-g/?nc=L2Category&t_pg=L2Cagegory&t_p=L2Category&t_s=L2Category&t_pos=3&t_ch=desktop,Powder - Natural Rocksalt,100
https://www.bigbasket.com/media/uploads/p/mm/40005000_6-sugar-free-natura-low-calorie-sweetener.jpg,https://www.bigbasket.com/pd/40005000/sugar-free-natura-low-calorie-sweetener-100-g/?nc=L2Category&t_pg=L2Cagegory&t_p=L2Category&t_s=L2Category&t_pos=3&t_ch=desktop,Natura Low Calorie Sweetener,145
https://www.bigbasket.com/media/uploads/p/mm/40089598_7-bb-royal-organic-jaggery-granules.jpg,https://www.bigbasket.com/pd/40089598/bb-royal-organic-jaggery-granules-bellam-500-g/?nc=L2Category&t_pg=L2Cagegory&t_p=L2Category&t_s=L2Category&t_pos=3&t_ch=desktop,Organic - Jaggery Granules / Bellam,65
https://www.bigbasket.com/media/uploads/p/mm/40129356_2-pro-nature-sugar-brown.jpg,https://www.bigbasket.com/pd/40129356/pro-nature-sugar-brown-1-kg/?nc=L2Category&t_pg=L2Cagegory&t_p=L2Category&t_s=L2Category&t_pos=3&t_ch=desktop,Sugar - Brown,
https://www.bigbasket.com/media/uploads/p/mm/40056582_2-bb-royal-misri-diamond-sugar.jpg,https://www.bigbasket.com/pd/40056582/bb-royal-misri-diamond-sugar-100-g/?nc=L2Category&t_pg=L2Cagegory&t_p=L2Category&t_s=L2Category&t_pos=3&t_ch=desktop,Misri - Diamond Sugar,15
https://www.bigbasket.com/media/uploads/p/mm/209285_4-saffola-salt.jpg,https://www.bigbasket.com/pd/209285/saffola-salt-1-kg/?nc=L2Category&t_pg=L2Cagegory&t_p=L2Category&t_s=L2Category&t_pos=3&t_ch=desktop,Salt,
https://www.bigbasket.com/media/uploads/p/mm/30008043_2-bb-royal-burapowder-sugar.jpg,https://www.bigbasket.com/pd/30008043/bb-royal-bura-powder-sugar-500-g/?nc=L2Category&t_pg=L2Cagegory&t_p=L2Category&t_s=L2Category&t_pos=3&t_ch=desktop,Bura/Powder Sugar,60
https://www.bigbasket.com/media/uploads/p/mm/40004997_2-sugar-free-natura-low-calorie-sweetener.jpg,https://www.bigbasket.com/pd/40004997/sugar-free-natura-low-calorie-sweetener-300-pellets/?nc=L2Category&t_pg=L2Cagegory&t_p=L2Category&t_s=L2Category&t_pos=3&t_ch=desktop,Natura Low Calorie Sweetener,
https://www.bigbasket.com/media/uploads/p/mm/40026891_5-patanjali-namak.jpg,https://www.bigbasket.com/pd/40026891/patanjali-namak-1-kg/?nc=L2Category&t_pg=L2Cagegory&t_p=L2Category&t_s=L2Category&t_pos=3&t_ch=desktop,Namak,
https://www.bigbasket.com/media/uploads/p/mm/40051769_5-sugar-free-gold-low-calorie-sweetner.jpg,https://www.bigbasket.com/pd/40051769/sugar-free-gold-low-calorie-sweetner-500-pellets/?nc=L2Category&t_pg=L2Cagegory&t_p=L2Category&t_s=L2Category&t_pos=3&t_ch=desktop,Gold Low Calorie Sweetner,
https://www.bigbasket.com/media/uploads/p/mm/40004549_6-safe-harvest-khandsari-sugar-pesticide-free.jpg,https://www.bigbasket.com/pd/40004549/safe-harvest-khandsari-sugar-pesticide-free-1-kg/?nc=L2Category&t_pg=L2Cagegory&t_p=L2Category&t_s=L2Category&t_pos=3&t_ch=desktop,Khandsari Sugar - Pesticide Free,
https://www.bigbasket.com/media/uploads/p/mm/100005086_2-catch-table-salt-iodized.jpg,https://www.bigbasket.com/pd/100005086/catch-table-salt-iodized-100-g/?nc=L2Category&t_pg=L2Cagegory&t_p=L2Category&t_s=L2Category&t_pos=3&t_ch=desktop,Table Salt - Iodized,
https://www.bigbasket.com/media/uploads/p/mm/40013512_2-sugar-free-gold-low-calorie-sweetener.jpg,https://www.bigbasket.com/pd/40013512/sugar-free-gold-low-calorie-sweetener-100-g/?nc=L2Category&t_pg=L2Cagegory&t_p=L2Category&t_s=L2Category&t_pos=3&t_ch=desktop,Gold Low Calorie Sweetener,135
https://www.bigbasket.com/media/uploads/p/mm/30006774_2-catch-sprinkler-sendha-namak-salt.jpg,https://www.bigbasket.com/pd/30006774/catch-sprinkler-sendha-namak-salt-100-g/?nc=L2Category&t_pg=L2Cagegory&t_p=L2Category&t_s=L2Category&t_pos=3&t_ch=desktop,Sprinkler Sendha Namak Salt,
https://www.bigbasket.com/media/uploads/p/mm/40188046_1-ankur-iodised-salt.jpg,https://www.bigbasket.com/pd/40188046/ankur-iodised-salt-1-kg/?nc=L2Category&t_pg=L2Cagegory&t_p=L2Category&t_s=L2Category&t_pos=3&t_ch=desktop,Iodised Salt,
https://www.bigbasket.com/media/uploads/p/mm/40158060_1-keya-himalayan-kala-namak.jpg,https://www.bigbasket.com/pd/40158060/keya-himalayan-kala-namak-200-g/?nc=L2Category&t_pg=L2Cagegory&t_p=L2Category&t_s=L2Category&t_pos=3&t_ch=desktop,Himalayan Kala Namak,60
https://www.bigbasket.com/media/uploads/p/mm/242596_3-sugar-free-gold-low-calorie-sweetener.jpg,https://www.bigbasket.com/pd/242596/sugar-free-gold-low-calorie-sweetener-300-pellets/?nc=L2Category&t_pg=L2Cagegory&t_p=L2Category&t_s=L2Category&t_pos=3&t_ch=desktop,Gold Low Calorie Sweetener,
https://www.bigbasket.com/media/uploads/p/mm/40185324_2-slurrp-farm-banana-powder.jpg,https://www.bigbasket.com/pd/40185324/slurrp-farm-banana-powder-300-g/?nc=L2Category&t_pg=L2Cagegory&t_p=L2Category&t_s=L2Category&t_pos=3&t_ch=desktop,Banana Powder,250
https://www.bigbasket.com/media/uploads/p/mm/1204231_1-puro-salt-unrefined-100-natural.jpg,https://www.bigbasket.com/pd/1204231/puro-salt-unrefined-100-natural-2x1-kg/?nc=L2Category&t_pg=L2Cagegory&t_p=L2Category&t_s=L2Category&t_pos=3&t_ch=desktop,"Salt - Unrefined, 100% Natural",
https://www.bigbasket.com/media/uploads/p/mm/1207186_2-bb-combo-red-label-tea-natural-care-250-gm-sugarlite-smart-sugar-500-gm-pouch.jpg,https://www.bigbasket.com/pd/1207186/bb-combo-red-label-tea-natural-care-250-gm-sugarlite-smart-sugar-500-gm-pouch-combo/?nc=L2Category&t_pg=L2Cagegory&t_p=L2Category&t_s=L2Category&t_pos=3&t_ch=desktop,Red Label Tea - Natural Care 250 gm + Sugarlite Smart Sugar 500 gm Pouch,234
